rendez-vous      	RENDEZ-VOUS SUR LA VOIE 9 3/4
canot            	– Pas plus de quatre par barque, lança Hagrid en montrant une flotte de petits canots alignés le long de la rive.
caser            	– Tout le monde est casé ?
lisse            	D’un même mouvement, les barques glissèrent sur l’eau du lac dont la surface était aussi lisse que du verre.
dresser          	Tout le monde restait silencieux, les yeux fixés sur la haute silhouette du château, dressé au sommet d’une falaise.
falaise          	Tout le monde restait silencieux, les yeux fixés sur la haute silhouette du château, dressé au sommet d’une falaise.
paroi            	– Baissez la tête, dit Hagrid lorsqu’ils atteignirent la paroi abrupte.
abrupt           	– Baissez la tête, dit Hagrid lorsqu’ils atteignirent la paroi abrupte.
exécuter         	Tout le monde s’exécuta tandis que les barques franchissaient un rideau de lierre qui cachait une large ouverture taillée dans le roc.
rideau           	Tout le monde s’exécuta tandis que les barques franchissaient un rideau de lierre qui cachait une large ouverture taillée dans le roc.
lierre           	Tout le monde s’exécuta tandis que les barques franchissaient un rideau de lierre qui cachait une large ouverture taillée dans le roc.
ouverture        	Tout le monde s’exécuta tandis que les barques franchissaient un rideau de lierre qui cachait une large ouverture taillée dans le roc.
roc              	Tout le monde s’exécuta tandis que les barques franchissaient un rideau de lierre qui cachait une large ouverture taillée dans le roc.
tunnel           	Les bateaux les emportèrent le long d’un tunnel sombre qui semblait les mener sous le château.
crique           	Ils arrivèrent alors dans une sorte de crique souterraine et débarquèrent sur le sol rocheux couvert de galets.
débarquer        	Ils arrivèrent alors dans une sorte de crique souterraine et débarquèrent sur le sol rocheux couvert de galets.
rocheux          	Ils arrivèrent alors dans une sorte de crique souterraine et débarquèrent sur le sol rocheux couvert de galets.
galet            	Ils arrivèrent alors dans une sorte de crique souterraine et débarquèrent sur le sol rocheux couvert de galets.
guider           	Guidés par la lampe de Hagrid, ils grimpèrent le long d’un passage creusé dans la montagne et arrivèrent enfin sur une vaste pelouse humide qui s’étendait à l’ombre du château.
creuser          	Guidés par la lampe de Hagrid, ils grimpèrent le long d’un passage creusé dans la montagne et arrivèrent enfin sur une vaste pelouse humide qui s’étendait à l’ombre du château.
pelouse          	Guidés par la lampe de Hagrid, ils grimpèrent le long d’un passage creusé dans la montagne et arrivèrent enfin sur une vaste pelouse humide qui s’étendait à l’ombre du château.
ombre            	Guidés par la lampe de Hagrid, ils grimpèrent le long d’un passage creusé dans la montagne et arrivèrent enfin sur une vaste pelouse humide qui s’étendait à l’ombre du château.
volée            	Ils montèrent une volée de marches en pierre et se pressèrent devant l’immense porte d’entrée en chêne massif.
